AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x17) Model(0x8)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Mar-31-2021_12-42-09,
Profile Duration:,7501 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,thread0-core-effective-frequency,Frequency,MHz,Thread0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
2.,thread1-core-effective-frequency,Frequency,MHz,Thread1-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
4.,thread2-core-effective-frequency,Frequency,MHz,Thread2-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
6.,thread3-core-effective-frequency,Frequency,MHz,Thread3-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
8.,thread4-core-effective-frequency,Frequency,MHz,Thread4-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
10.,thread5-core-effective-frequency,Frequency,MHz,Thread5-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
12.,thread6-core-effective-frequency,Frequency,MHz,Thread6-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
14.,thread7-core-effective-frequency,Frequency,MHz,Thread7-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
16.,thread8-core-effective-frequency,Frequency,MHz,Thread8-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
18.,thread9-core-effective-frequency,Frequency,MHz,Thread9-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
20.,thread10-core-effective-frequency,Frequency,MHz,Thread10-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
22.,thread11-core-effective-frequency,Frequency,MHz,Thread11-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
24.,thread12-core-effective-frequency,Frequency,MHz,Thread12-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
26.,thread13-core-effective-frequency,Frequency,MHz,Thread13-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
28.,thread14-core-effective-frequency,Frequency,MHz,Thread14-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
30.,thread15-core-effective-frequency,Frequency,MHz,Thread15-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
48.,socket0-package-energy,Energy,mJ,Socket0-Package level Running Average Power Limit energy reporting in milli joules, shared with all the cores in package.
50.,core0-energy,Energy,mJ,Core0-Core-level Running Average Power Limit energy reporting in milli joules.
52.,core1-energy,Energy,mJ,Core1-Core-level Running Average Power Limit energy reporting in milli joules.
54.,core2-energy,Energy,mJ,Core2-Core-level Running Average Power Limit energy reporting in milli joules.
56.,core3-energy,Energy,mJ,Core3-Core-level Running Average Power Limit energy reporting in milli joules.
58.,core4-energy,Energy,mJ,Core4-Core-level Running Average Power Limit energy reporting in milli joules.
60.,core5-energy,Energy,mJ,Core5-Core-level Running Average Power Limit energy reporting in milli joules.
62.,core6-energy,Energy,mJ,Core6-Core-level Running Average Power Limit energy reporting in milli joules.
64.,core7-energy,Energy,mJ,Core7-Core-level Running Average Power Limit energy reporting in milli joules.

PROFILE RECORDS
RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,socket0-package-energy,core0-energy,core1-energy,core2-energy,core3-energy,core4-energy,core5-energy,core6-energy,core7-energy
1,12:42:10:598, 4143.69, 4156.70, 4134.00, 4150.49, 4143.06, 4129.43, 4130.73, 4111.97, 4138.69, 4134.09, 4142.14, 3743.26, 4053.03, 4081.99, 4115.56, 4136.75,42594.13, 1900.47, 2081.25, 1923.95, 1726.17, 1472.67, 6734.10, 1561.00, 2188.42
2,12:42:11:598, 4152.69, 4139.39, 4152.69, 4092.77, 4151.73, 4141.73, 4134.56, 4100.64, 4139.88, 4128.15, 4146.12, 3705.45, 4105.53, 4052.65, 4132.09, 4139.42,47326.26, 1641.11, 5347.37, 2424.53, 1950.71, 1594.48, 7799.90, 2049.55, 2106.22
3,12:42:12:599, 4130.87, 4131.48, 4149.78, 4107.30, 4146.23, 4116.34, 4140.29, 4087.15, 4131.67, 4119.27, 4149.93, 4105.46, 4100.23, 4111.38, 4133.57, 4132.27,57426.09, 3469.39, 8005.31, 4327.62, 3567.70, 2931.76, 4254.35, 4097.85, 3899.52
4,12:42:13:599, 4113.18, 4022.74, 4178.40, 4122.85, 4146.36, 4079.12, 4141.28, 4022.04, 4112.52, 3906.62, 4132.41, 4084.75, 4089.37, 4025.34, 4124.05, 4144.11,48362.61, 2324.40, 9773.35, 3852.11, 2796.91, 1238.20, 2125.02, 1309.40, 2286.04
5,12:42:14:609, 3290.25, 2945.58, 4257.28, 4177.22, 3821.60, 3076.88, 4200.41, 3853.46, 3043.46, 2745.15, 2937.67, 2773.31, 2857.15, 2701.67, 3309.29, 3550.09,36337.42,  433.96,11156.37,  833.66, 1483.95,  193.24,  151.12,  127.23,  573.27
6,12:42:15:609, 3358.32, 2821.27, 4282.62, 4247.09, 3999.98, 2903.07, 3030.56, 2844.60, 3043.81, 2611.90, 3073.19, 2608.75, 2945.51, 2555.86, 2836.49, 3429.17,34404.77,  365.23,11709.30,  878.59,  252.27,  217.91,  160.48,  162.38,  253.33
7,12:42:16:609, 3856.95, 3897.89, 4266.16, 4193.59, 3986.06, 3462.95, 3432.81, 3510.02, 3404.65, 3369.56, 3518.10, 3353.75, 3644.28, 3316.07, 3862.72, 3704.86,35941.79, 1014.69,10904.17,  866.58,  405.27,  389.05,  322.59,  253.07,  659.10
8,12:42:17:611, 3303.87, 3377.53, 4287.36, 4243.44, 3562.29, 2720.71, 4182.58, 2909.40, 2944.88, 2597.06, 2923.51, 2587.38, 2711.29, 2613.90, 2985.84, 3350.99,33777.77,  481.83,11420.84,  284.16, 1310.09,  233.18,  128.39,   89.54,  212.34
9,12:42:18:611, 3165.69, 2902.99, 4289.85, 4299.86, 3852.68, 2871.70, 3007.64, 2708.37, 2928.08, 2560.12, 3459.29, 2548.28, 2646.34, 2565.64, 2737.55, 3173.00,32956.62,  321.76,12204.80,  608.22,  243.19,  204.30,  220.03,   75.32,  174.70
10,12:42:19:612, 2977.54, 2984.99, 4292.90, 4246.81, 3540.26, 2826.37, 2921.84, 3083.72, 3099.36, 2815.34, 2922.22, 3287.17, 2882.25, 2755.36, 2959.50, 3338.02,33140.47,  333.22,12497.60,  311.51,  154.80,  156.05,  128.43,   84.06,  332.78
11,12:42:20:621, 2991.01, 2822.58, 4294.04, 4289.12, 3777.97, 2732.37, 3944.64, 2804.37, 2954.95, 2630.87, 2930.88, 2543.81, 2699.07, 2553.95, 2770.42, 3175.73,33451.77,  231.75,12148.82,  600.75,  736.13,  184.54,  150.83,   71.18,  177.05
12,12:42:21:621, 3032.24, 2845.17, 4295.92, 4293.56, 4150.10, 3064.77, 2867.41, 2616.63, 2969.68, 2579.84, 3074.36, 2596.52, 2875.02, 2567.82, 2861.25, 3203.92,33005.22,  280.09,11617.17, 1466.26,  143.16,  126.14,  179.08,   86.00,  164.93
13,12:42:22:623, 3211.12, 2833.65, 4297.55, 4314.19, 3015.65, 2610.72, 2751.77, 2575.64, 3013.83, 2537.17, 2883.40, 2491.48, 2731.81, 2487.04, 2969.30, 3161.23,32708.25,  386.80,12605.44,  182.42,  138.93,  198.73,   81.51,   70.36,  176.76
14,12:42:23:623, 3372.35, 3058.14, 4289.32, 4230.46, 3725.47, 3131.85, 4232.78, 3519.92, 2932.16, 2675.66, 3105.66, 2709.64, 2971.70, 2641.74, 3065.54, 3185.51,33352.51,  571.88, 9388.40,  637.76, 2920.46,  117.61,  150.01,   90.68,  228.79
15,12:42:24:624, 2888.52, 3021.60, 4298.30, 4191.00, 4254.34, 3401.09, 2869.88, 2849.40, 3020.11, 2723.67, 2943.78, 2833.56, 2895.11, 2843.42, 3398.87, 3199.21,33548.91,  268.69,10136.00, 3203.58,  163.12,  165.41,  115.86,   66.93,  246.32
16,12:42:25:633, 3278.76, 3441.80, 4292.04, 4089.29, 3233.58, 3267.09, 3359.69, 3250.32, 3041.65, 3283.63, 3043.35, 3353.04, 3277.82, 3339.15, 3185.30, 3305.23,34748.11,  359.24,12925.23,  305.83,  227.02,  280.75,  124.13,   90.27,  271.94
17,12:42:26:644, 3003.88, 2708.73, 4290.29, 4279.99, 4259.02, 3769.55, 3342.85, 3048.47, 2968.86, 2981.08, 3052.67, 2958.79, 2916.30, 2968.97, 3036.67, 3297.96,34987.03,  296.89,10423.36, 3136.47,  278.03,  229.55,  135.54,   70.02,  246.64
18,12:42:27:644, 2994.94, 2726.28, 4296.26, 4319.48, 3028.07, 3334.11, 2821.77, 3108.85, 2789.99, 2815.52, 2859.90, 2506.72, 2885.68, 2497.92, 2795.84, 3260.44,34107.39,  296.11,12782.10,  366.00,  164.06,  122.60,  112.49,  168.91,  240.01
19,12:42:28:644, 3172.30, 2954.65, 4291.80, 4303.59, 3184.75, 2698.58, 3046.13, 2726.86, 2912.14, 2683.83, 3186.64, 2538.68, 2882.39, 2536.15, 2755.12, 3294.13,34068.88,  426.48,12481.26,  244.40,  236.42,  164.64,  154.17,  141.45,  228.03
20,12:42:29:644, 2884.86, 2589.26, 4304.18, 4308.88, 2923.37, 2531.07, 2922.02, 2536.80, 2600.29, 2550.84, 2819.43, 2547.56, 2531.86, 2552.94, 2639.24, 3410.44,34305.80,  136.73,12840.04,   94.70,   93.80,   74.11,   96.02,   75.49,  123.86
21,12:42:30:644, 2993.11, 2749.75, 4300.91, 4291.28, 2673.05, 2665.65, 2754.77, 2645.63, 3194.50, 2652.81, 2885.92, 2783.67, 2688.77, 2588.64, 2776.10, 3573.89,35094.88,  159.73,12784.42,   93.90,   96.19,  101.67,  107.82,   89.16,  136.98
22,12:42:31:644, 3110.71, 2749.15, 4295.24, 4257.05, 3078.90, 2632.54, 3129.56, 3213.31, 3246.06, 2595.07, 3161.58, 2587.30, 2627.97, 2613.11, 2683.50, 3606.78,35150.79,  169.08,12595.64,  123.72,  169.08,  102.08,  129.84,   85.77,  133.26
23,12:42:32:645, 2919.86, 2728.42, 4296.55, 3962.99, 2700.86, 2777.20, 3390.04, 2876.97, 3223.37, 2562.13, 3271.38, 2667.84, 2561.93, 2587.14, 2864.85, 3613.17,28343.49,  168.00, 7304.43,   98.02,  118.67,   97.66,  131.03,   80.70,  187.18
24,12:42:33:645, 3329.87, 2556.91, 3402.32, 2501.18, 2480.27, 2448.49, 2475.78, 2445.47, 3169.62, 2509.84, 3244.69, 2491.77, 2444.30, 2467.38, 2541.59, 3425.24,15452.70,  183.76,  112.47,   46.71,   48.36,   86.82,  198.56,   45.47,  221.73
25,12:42:34:646, 2837.05, 2556.22, 2649.95, 2469.86, 2598.53, 2478.40, 2923.58, 2492.03, 3087.55, 2527.46, 2816.02, 2511.98, 2519.81, 2565.72, 3011.60, 3705.73,17743.74,  111.59,   67.95,   62.35,   68.07,   77.59,   79.73,   62.59,  719.42
26,12:42:35:646, 2808.25, 2771.64, 2622.98, 2496.88, 2698.38, 2501.71, 2616.86, 2498.06, 3159.91, 2537.67, 2865.94, 2508.31, 2698.52, 2538.20, 2936.89, 3923.28,17746.02,   97.93,   54.76,   53.99,   55.07,   65.05,   60.70,   58.04,  760.45
27,12:42:36:646, 2924.39, 2550.59, 2856.51, 2760.55, 2770.46, 2776.01, 2875.20, 2539.20, 3175.62, 2543.80, 3143.20, 2768.58, 2863.09, 4195.94, 3041.03, 3593.38,16989.58,   94.06,   61.86,   55.11,   59.27,   65.89,   84.96,  801.47,  385.31
