        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-09 12:24:06 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1202   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.8   ,                  2551   ,
2021-03-09 12:24:07 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1199   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               33.0   ,                  2551   ,
2021-03-09 12:24:08 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1202   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2551   ,
2021-03-09 12:24:09 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.8   ,                  2551   ,
2021-03-09 12:24:10 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               32.9   ,                  2551   ,
2021-03-09 12:24:11 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.9   ,                  2550   ,
2021-03-09 12:24:12 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.9   ,                  2550   ,
2021-03-09 12:24:13 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.9   ,                  2550   ,
2021-03-09 12:24:14 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1202   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2550   ,
2021-03-09 12:24:15 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2550   ,
2021-03-09 12:24:16 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1203   ,                32   ,                  1197   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.8   ,                  2550   ,
